Patroling Sections:
[-290.705420514, 214.813821,0] -> [-290.705420514, -185.186179,0] -> 
[-377.307960892, 264.813821,0] -> [-377.307960892, -235.186179,0] -> 
[-463.910501271, 314.813821,0] -> [-463.910501271, -285.186179,0] -> 
[-550.513041649, 364.813821,0] -> [-550.513041649, -335.186179,0] -> 
[-637.115582028, 414.813821,0] -> [-637.115582028, -385.186179,0] -> 
[-723.718122406, 464.813821,0] -> [-723.718122406, -435.186179,0] -> 
[-810.320662784, 514.813821,0] -> [-810.320662784, -485.186179,0] -> 
[-810.320662784, -485.186179,0] -> [-810.320662784, 514.813821,0] -> 
[-723.718122406, -435.186179,0] -> [-723.718122406, 464.813821,0] -> 
[-637.115582028, -385.186179,0] -> [-637.115582028, 414.813821,0] -> 
[-550.513041649, -335.186179,0] -> [-550.513041649, 364.813821,0] -> 
[-463.910501271, -285.186179,0] -> [-463.910501271, 314.813821,0] -> 
[-377.307960892, -235.186179,0] -> [-377.307960892, 264.813821,0] -> 
[-290.705420514, -185.186179,0] -> [-290.705420514, 214.813821,0] -> 
 End 

0: -290.705420514, -185.186179, 0 {90, 0} -> -290.705420514, 214.813821, 0
1: -290.705420513776, -182.271178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
2: -290.705420513776, -173.526178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
3: -290.705420513776, -156.296178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
4: -290.705420513776, -139.066178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
5: -290.705420513776, -121.836178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
6: -290.705420513776, -104.606178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
7: -290.705420513776, -87.376178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
8: -290.705420513776, -70.146178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
9: -290.705420513776, -52.916178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
10: -290.705420513776, -35.686178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
11: -290.705420513776, -18.456178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
12: -290.705420513776, -1.226178999999, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
13: -290.705420513776, 16.003821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
14: -290.705420513777, 33.233821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
15: -290.705420513777, 50.463821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
16: -290.705420513777, 67.693821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
17: -290.705420513777, 84.923821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
18: -290.705420513777, 102.153821000001, 0.000000000000 {90.000000000000, 90.000000000000} -> -290.705420513777, 214.813820999998, 0.000000000000
